JDBC Connection [HikariProxyConnection@1345069688 wrapping org.postgresql.jdbc.PgConnection@21f7e537] will be managed by Spring
==>  Preparing: INSERT INTO staff ( name, age, gender, number, supply_center, mobile_number, type ) VALUES ( ?, ?, ?, ?, ?, ?, ? ) 
==> Parameters: Kong Yibo(String), 47(Long), Female(String), 11311024(String), America(String), 15038403217(String), Director(String)
==> Parameters: Steven Edwards(String), 38(Long), Male(String), 12211522(String), America(String), 15673757797(String), Supply Staff(String)
==> Parameters: Jiang Shengxiang(String), 40(Long), Male(String), 12012116(String), America(String), 15639234045(String), Supply Staff(String)
==> Parameters: Yang Penglong(String), 48(Long), Male(String), 11210418(String), America(String), 18690429590(String), Supply Staff(String)
==> Parameters: Al Evans(String), 41(Long), Male(String), 11910017(String), America(String), 15639548357(String), Supply Staff(String)
==> Parameters: Xu Shiyun(String), 49(Long), Female(String), 11110325(String), America(String), 13990824090(String), Supply Staff(String)
==> Parameters: Gene Jackson(String), 41(Long), Male(String), 11911118(String), America(String), 18658431890(String), Supply Staff(String)
==> Parameters: Tao Yibo(String), 38(Long), Female(String), 12210416(String), America(String), 13866742389(String), Supply Staff(String)
==> Parameters: Chen Yueqi(String), 45(Long), Male(String), 11512800(String), America(String), 15696096714(String), Supply Staff(String)
==> Parameters: Xu Zhuyu(String), 44(Long), Male(String), 11610802(String), America(String), 18903294883(String), Supply Staff(String)
==> Parameters: You Taian(String), 47(Long), Male(String), 11310827(String), America(String), 18936275779(String), Supply Staff(String)
==> Parameters: Hua Yizhen(String), 48(Long), Female(String), 11210921(String), America(String), 18687747201(String), Supply Staff(String)
==> Parameters: Sylvia Smith(String), 38(Long), Female(String), 12210311(String), America(String), 13808932915(String), Supply Staff(String)
==> Parameters: Jing Xiaotian(String), 44(Long), Female(String), 11611905(String), America(String), 18993374707(String), Supply Staff(String)
==> Parameters: Anita Hall(String), 42(Long), Female(String), 11810107(String), America(String), 15682226940(String), Supply Staff(String)
==> Parameters: Zou Linshan(String), 39(Long), Male(String), 12111022(String), America(String), 13809404711(String), Supply Staff(String)
==> Parameters: Audrey Evans(String), 47(Long), Female(String), 11310324(String), America(String), 13867209171(String), Supply Staff(String)
==> Parameters: Carl Roberts(String), 45(Long), Male(String), 11512914(String), America(String), 13959111644(String), Supply Staff(String)
==> Parameters: Christian White(String), 44(Long), Male(String), 11611101(String), America(String), 13957306066(String), Supply Staff(String)
==> Parameters: Shen Yangchen(String), 46(Long), Male(String), 11410600(String), America(String), 13830653355(String), Supply Staff(String)
==> Parameters: Jing Zhidie(String), 39(Long), Female(String), 12110806(String), America(String), 18928273520(String), Supply Staff(String)
==> Parameters: Zhou Yanbai(String), 40(Long), Female(String), 12012818(String), America(String), 13835332483(String), Supply Staff(String)
==> Parameters: Hua Cailing(String), 43(Long), Female(String), 11710900(String), America(String), 13836235059(String), Supply Staff(String)
==> Parameters: Rebecca Davies(String), 46(Long), Female(String), 11410826(String), America(String), 18695296614(String), Supply Staff(String)
==> Parameters: Shi Ningtao(String), 40(Long), Female(String), 12011924(String), America(String), 18962441154(String), Supply Staff(String)
